"","game_id","season","season_type","game_date","game_date_time","team_id","team_uid","team_slug","team_location","team_name","team_abbreviation","team_display_name","team_short_display_name","team_color","team_alternate_color","team_logo","team_home_away","team_score","team_winner","assists","blocks","defensive_rebounds","field_goal_pct","field_goals_made","field_goals_attempted","flagrant_fouls","fouls","free_throw_pct","free_throws_made","free_throws_attempted","largest_lead","offensive_rebounds","steals","team_turnovers","technical_fouls","three_point_field_goal_pct","three_point_field_goals_made","three_point_field_goals_attempted","total_rebounds","total_technical_fouls","total_turnovers","turnovers","opponent_team_id","opponent_team_uid","opponent_team_slug","opponent_team_location","opponent_team_name","opponent_team_abbreviation","opponent_team_display_name","opponent_team_short_display_name","opponent_team_color","opponent_team_alternate_color","opponent_team_logo","opponent_team_score","fast_break_points","points_in_paint","turnover_points"
"655",401018893,2018,2,2018-07-08,2018-07-08 15:00:00,11,"s:40~l:59~t:11","phoenix-mercury","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png","away",70,FALSE,17,5,25,36.5,27,74,0,20,66.7,6,9,"0",9,7,1,1,32.3,10,31,34,1,17,16,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png",76,NA,NA,NA
"656",401018893,2018,2,2018-07-08,2018-07-08 15:00:00,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png","home",76,TRUE,17,10,34,40.8,29,71,0,20,76.5,13,17,"23",9,8,2,0,29.4,5,17,43,0,17,15,11,"s:40~l:59~t:11","phoenix-mercury","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png",70,NA,NA,NA
"657",401018894,2018,2,2018-07-08,2018-07-08 15:00:00,3,"s:40~l:59~t:3","dallas-wings","Dallas","Wings","DAL","Dallas Wings","Wings","11213e","c5d646","https://a.espncdn.com/i/teamlogos/wnba/500/dal.png","away",97,TRUE,19,5,32,49.2,32,65,0,18,81.3,26,32,"23",8,1,2,2,33.3,7,21,40,2,11,9,9,"s:40~l:59~t:9","new-york-liberty","New York","Liberty","NY","New York Liberty","Liberty","0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",87,NA,NA,NA
"658",401018894,2018,2,2018-07-08,2018-07-08 15:00:00,9,"s:40~l:59~t:9","new-york-liberty","New York","Liberty","NY","New York Liberty","Liberty","0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/ny.png","home",87,FALSE,17,2,16,40,30,75,0,22,67.9,19,28,"0",14,5,0,2,33.3,8,24,30,2,6,6,3,"s:40~l:59~t:3","dallas-wings","Dallas","Wings","DAL","Dallas Wings","Wings","11213e","c5d646","https://a.espncdn.com/i/teamlogos/wnba/500/dal.png",97,NA,NA,NA
"659",401018892,2018,2,2018-07-07,2018-07-07 22:30:00,18,"s:40~l:59~t:18","connecticut-sun","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62","https://a.espncdn.com/i/teamlogos/wnba/500/conn.png","away",90,FALSE,24,5,23,45.1,37,82,0,15,70,7,10,"12",11,5,1,0,31,9,29,34,0,10,9,17,"s:40~l:59~t:17","las-vegas-aces","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4","https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",94,NA,NA,NA
"660",401018892,2018,2,2018-07-07,2018-07-07 22:30:00,17,"s:40~l:59~t:17","las-vegas-aces","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4","https://a.espncdn.com/i/teamlogos/wnba/500/lv.png","home",94,TRUE,26,7,29,49.3,37,75,0,12,84.2,16,19,"10",9,5,0,0,30.8,4,13,38,0,11,11,18,"s:40~l:59~t:18","connecticut-sun","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62","https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",90,NA,NA,NA
"661",401018891,2018,2,2018-07-07,2018-07-07 20:30:00,8,"s:40~l:59~t:8","minnesota-lynx","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","https://a.espncdn.com/i/teamlogos/wnba/500/min.png","away",63,FALSE,19,4,25,35.5,27,76,0,13,66.7,4,6,"5",15,10,1,0,27.8,5,18,40,0,16,15,19,"s:40~l:59~t:19","chicago-sky","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",77,NA,NA,NA
"662",401018891,2018,2,2018-07-07,2018-07-07 20:30:00,19,"s:40~l:59~t:19","chicago-sky","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png","home",77,TRUE,22,2,34,47.6,30,63,0,13,80,8,10,"14",4,11,2,0,52.9,9,17,38,0,16,14,8,"s:40~l:59~t:8","minnesota-lynx","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","https://a.espncdn.com/i/teamlogos/wnba/500/min.png",63,NA,NA,NA
"663",401018890,2018,2,2018-07-07,2018-07-07 19:00:00,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png","away",83,TRUE,13,2,26,41,25,61,0,15,91.4,32,35,"11",8,9,0,0,6.3,1,16,34,0,13,13,6,"s:40~l:59~t:6","los-angeles-sparks","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/la.png",74,NA,NA,NA
"664",401018890,2018,2,2018-07-07,2018-07-07 19:00:00,6,"s:40~l:59~t:6","los-angeles-sparks","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/la.png","home",74,FALSE,17,2,25,45.3,29,64,0,27,92.3,12,13,"7",5,7,1,0,25,4,16,30,0,15,14,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",83,NA,NA,NA
"665",401018889,2018,2,2018-07-06,2018-07-06 19:00:00,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png","away",95,TRUE,23,6,30,51.4,36,70,0,19,66.7,14,21,"21",7,5,1,0,45,9,20,37,0,14,13,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png",86,NA,NA,NA
"666",401018889,2018,2,2018-07-06,2018-07-06 19:00:00,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png","home",86,FALSE,19,2,24,38.4,28,73,0,19,83.3,20,24,"7",6,7,1,1,38.5,10,26,30,1,12,11,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png",95,NA,NA,NA
"667",401018887,2018,2,2018-07-05,2018-07-05 22:00:00,19,"s:40~l:59~t:19","chicago-sky","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png","away",80,FALSE,20,6,27,42.9,30,70,0,15,92.3,12,13,"7",8,5,2,1,38.1,8,21,35,1,18,16,17,"s:40~l:59~t:17","las-vegas-aces","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4","https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",84,NA,NA,NA
